id,name
18758,Edison Manufacturing Company
11793,Lumière
45867,Star Film Company
1342,Société des Etablissements L. Gaumont
7159,Star-Film
37046,Georges Méliès
23795,Phono-Cinéma-Théâtre
11483,George Albert Smith Films
15634,Vitagraph Company of America
24148,Hepworth
36412,American Mutoscope & Biograph
21594,Pathé Frères
74308,Johnson and Gibson
74309,J. & N. Tait
83124,Helen Gardner Picture Players
36181,Kay-Bee Pictures
21844,Rex Motion Picture Company
351,Epoch Film Co.
930,Lone Star Corporation
1307,Triangle Film Corporation
1308,Wark Producing Corp.
38631,Ideal
4,Paramount Pictures
13400,Artcraft Pictures Corporation
21540,Mary Pickford Company
12950,Projektions-AG Union (PAGU)
38097,Pickford Film
41056,National Film Corporation of America
13399,Douglas Fairbanks Pictures
60,United Artists
4759,D.W. Griffith Productions
72067,Micheaux Book & Film Company
55,Decla Film Gesellschaft Holz & Co.
6181,Svensk Filmindustri (SF)
70274,Lois Weber Productions
1315,Charles Chaplin Productions
3245,First National Pictures
78552,Aljosha Production Company
397,Révillon Frères
2127,Uco-Film GmbH
6762,Decla-Bioscop AG
1959,Jofa Atelier
1960,Prana-Film GmbH
13133,Universal Film Manufacturing Company
12190,Buster Keaton Productions
13913,Joseph M. Schenck Productions
2159,Hal Roach Studios
5488,Fox Film Corporation
9005,Films Abel Gance
41913,Unione Cinematografica Italiana
70279,Metro Pictures
7281,British Film Institute (BFI)
8449,New Era
4111,The Harold Lloyd Corporation
12372,Universum Film (UFA)
9040,Proletkult
25606,Goskino
33,Universal Pictures
383,Goskino Productions
5120,Mosfilm
426,First National Bank of Chicago (London Branch)
8411,Metro-Goldwyn-Mayer (MGM)
52458,Comenius-Film GmbH
6194,Warner Bros.
33333,Paramount Famous Lasky Corporation
220,Pathé Consortium Cinéma
1237,Société générale des films
9006,Isepa-Wengeroff Film GmbH
27693,Ciné France
82280,Société Westi
29729,Famous Players-Lasky Corporation
1221,Gainsborough Pictures
441,Columbia Pictures Corporation
1442,Cosmopolitan Productions
13866,The Caddo Company
51816,British International Pictures (BIP)
85822,Luis Buñuel
25065,VUFKU
4903,Nero Films
28184,British Instructional Films (BIF)
70362,Himansu Rai Film
72066,Eye 4 Films
1965,Vicomte de Noailles
19598,Art Cinema Corporation
13707,Films Sonores Tobis
69037,Murnau-Flaherty Productions
43854,Nero-Film AG
68167,Les Établissements Braunberger-Richebé
40690,Deutsche Film-Gemeinschaft
9329,The Vitaphone Corporation
13914,Feature Productions
580,Leni Riefenstahl-Produktion
6,RKO Radio Pictures
