id,imdbId,title,release_date,original_language,vote_average,vote_count,budget,revenue,runtime,genres_id,countries_id,companies_id,year,test,binary,directors_id,writers_id
88013,tt0000003,Poor Pierrot,28/00/1892,fr,6.2,16,0,0,4,35 16,FR,,1892,nowomen,FAIL,935707,
34372,tt0132134,"The Execution of Mary, Queen of Scots",28/00/1895,xx,6.4,15,0,0,1,36,US,18758,1895,nowomen,FAIL,1170484,
82120,tt0000014,Tables Turned on the Gardener,27/00/1895,fr,7.0,40,0,0,1,35,FR,11793,1895,nowomen,FAIL,1868,
104462,tt0000131,A Terrible Night,01/00/1896,fr,6.3,12,0,0,1,35 27,FR,45867,1896,nowomen,FAIL,11523,11523
160,tt0000012,The Arrival of a Train at La Ciotat,25/00/1896,fr,6.7,73,0,0,1,99,FR,11793,1896,nowomen,FAIL,1868 1867,
133063,tt0000091,The Haunted Castle,24/00/1896,fr,6.7,27,0,0,3,14 27,FR,45867,1896,nowomen,FAIL,11523,11523
147554,tt0223341,The Cabbage Fairy,31/00/1896,fr,4.7,17,0,0,1,14,FR,1342,1896,nowomen,FAIL,1071403,
104700,tt0000211,The Astronomer's Dream,01/00/1898,fr,6.6,21,0,0,3,14,FR,45867,1898,nowomen,FAIL,11523,
49296,tt0135696,The Four Troublesome Heads,01/00/1898,fr,7.3,15,0,0,1,35 14,FR,7159,1898,nowomen,FAIL,11523,
104702,tt0224240,The Temptation of St. Anthony,01/00/1898,fr,5.3,6,0,0,1,14,FR,45867,1898,nowomen,FAIL,11523,
114108,tt0000230,Cinderella,01/00/1899,fr,5.5,19,0,0,5,14 27 878 10751,FR,7159 37046,1899,pass,PASS,11523,
49295,tt0000246,An Up-to-Date Conjurer,01/00/1899,fr,6.5,11,0,0,1,35,FR,45867,1899,nowomen,FAIL,11523,
144432,tt0000300,The Enchanted Drawing,16/00/1900,en,7.2,10,0,0,2,16 35,US,18758,1900,nowomen,FAIL,1100017,
195626,tt0000306,Le duel d'Hamlet,21/00/1900,fr,6.3,3,0,0,2,18,FR,23795,1900,nowomen,FAIL,1175929,
179235,tt0000313,Let Me Dream Again,01/00/1900,en,6.0,5,0,0,1,10749 35,GB,11483,1900,nowomen,FAIL,1037661,
106814,tt0227438,The Doctor and the Monkey,01/00/1900,fr,6.0,5,0,0,1,35,FR,7159,1900,nowomen,FAIL,11523,
193408,tt0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",23/00/1900,en,6.0,1,0,0,1,99,US,15634 18758,1900,nowomen,FAIL,1173774,
105303,tt0257654,Explosion of an Automobile,01/00/1900,xx,5.8,6,0,0,1,27 35,GB,24148,1900,nowomen,FAIL,125992,
195620,tt0291476,Sherlock Holmes Baffled,21/00/1900,en,5.0,7,0,0,1,80 14,US,36412,1900,nowomen,FAIL,1175916,
154171,tt0000272,As Seen Through a Telescope,01/00/1900,en,5.6,5,0,0,1,35,GB,11483,1900,nowomen,FAIL,1037661,
49280,tt0135453,The One-Man Band,01/00/1900,fr,6.3,18,0,0,1,14 28 53,FR,45867,1900,nowomen,FAIL,11523,
179236,tt0000304,Grandma's Reading Glass,01/00/1900,en,6.4,11,0,0,1,18,GB,11483,1900,nowomen,FAIL,1037661,
49279,tt0000359,The Man with the Rubber Head,01/00/1901,fr,7.4,23,0,0,3,878 14 35,FR,45867,1901,nowomen,FAIL,11523,
185219,tt0258104,Dream and Reality,01/00/1901,en,4.5,2,0,0,1,10749,FR,21594,1901,nowomen,FAIL,1079361,
49275,tt0131934,Bluebeard,01/00/1901,fr,6.3,10,0,0,10,18 27 14,FR,7159,1901,nowomen,FAIL,11523,
775,tt0000417,A Trip to the Moon,01/00/1902,fr,7.9,272,5985,0,14,12 14 878,FR,7159,1902,nowomen,FAIL,11523,11523
190669,tt0367177,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",02/00/1902,en,4.0,1,0,0,1,878,,,1902,nowomen,FAIL,44866,
108292,tt0229024,Gulliver's Travels Among the Lilliputians and the Giants,01/00/1902,fr,5.7,7,0,0,4,14,FR,7159 37046,1902,nowomen,FAIL,11523,
108278,tt0000413,The Treasures of Satan,01/00/1902,fr,4.8,5,0,0,3,27 14,FR,7159 37046,1902,nowomen,FAIL,11523,
44449,tt0223755,The Monster,14/00/1903,fr,6.4,11,0,0,2,14 27,FR,45867,1903,nowomen,FAIL,11523,
5698,tt0000439,The Great Train Robbery,01/00/1903,en,7.1,103,150,0,12,28 12 37,US,18758,1903,nowomen,FAIL,44866,44866 44867
49273,tt0000455,The Melomaniac,15/00/1903,fr,6.2,18,0,0,3,35 10402,FR,7159 37046,1903,nowomen,FAIL,11523,
127097,tt0189498,The Enchanted Well,01/00/1903,fr,5.3,6,0,0,3,,FR,45867,1903,nowomen,FAIL,11523,
