id,name,gender
935707,Émile Reynaud,0
1170484,Alfred Clark,0
1868,Louis Lumière,0
11523,Georges Méliès,0
1867,Auguste Lumière,0
1071403,Alice Guy,1
1100017,J. Stuart Blackton,0
1175929,Clément Maurice,0
1037661,George Albert Smith,0
1173774,Albert E. Smith,2
125992,Cecil M. Hepworth,0
1175916,Arthur Marvin,0
1079361,Ferdinand Zecca,0
44866,Edwin S. Porter,2
44867,Scott Marble,0
29028,Adolphe d'Ennery,0
85621,Charles Tait,0
41616,Segundo de Chomón,0
1268213,Georges Monca,0
931794,Émile Cohl,0
1056719,Ashley Miller,0
1008306,Lewin Fitzhamon,0
562261,Charles L. Gaskill,0
1264306,Victorien Sardou,0
30496,Francis Ford,2
931237,Thomas H. Ince,2
1016035,Max Linder,2
1090768,René Leprince,0
1172420,Gaston Méliès,0
116187,Phillips Smalley,2
1037794,Lois Weber,0
1050355,Sidney Drew,0
1369395,Marguerite Bertsch,0
1174234,Eugene Mullin,0
100036,D.W. Griffith,2
8814,Frank E. Woods,0
13848,Charlie Chaplin,2
21308,Vincent Bryan,0
11436,Anita Loos,1
1496,Tod Browning,2
1310545,Fred Paul,2
28968,J. Searle Dawley,2
940663,Chester M. Franklin,2
42060,Sidney Franklin,2
88988,Bernard McConville,0
8636,Cecil B. DeMille,2
148786,Jeanie Macpherson,0
13823,George Irving,2
98043,Maurice Tourneur,2
72061,Frank Lloyd,2
559559,Marshall Neilan,2
34741,Frances Marion,1
2428,Ernst Lubitsch,2
42063,Hanns Kräly,2
148656,Gilbert Pratt,0
1046101,Scott Sidney,0
933357,Fred Miller,0
9049,Victor Fleming,0
152222,Paul Powell,2
253152,Oscar Micheaux,2
582372,Gene DeAnna,0
2991,Robert Wiene,2
8741,Victor Sjöström,2
222572,Marion Orth,0
89674,Benjamin Christensen,2
1158072,Manfred Noa,0
10092,Robert J. Flaherty,0
9076,F.W. Murnau,2
157,Thea von Harbou,1
1153824,Burton King,0
1043380,Harry Houdini,0
9833,Henrik Galeen,2
68,Fritz Lang,2
47086,Norbert Jacques,2
